"Mês","","Variável",""
"novembro 1991","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1991","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1992","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1992","Brasil","Custo médio m² - moeda corrente","..."
"março 1992","Brasil","Custo médio m² - moeda corrente","..."
"abril 1992","Brasil","Custo médio m² - moeda corrente","..."
"maio 1992","Brasil","Custo médio m² - moeda corrente","..."
"junho 1992","Brasil","Custo médio m² - moeda corrente","..."
"julho 1992","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1992","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1992","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1992","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1992","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1992","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1993","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1993","Brasil","Custo médio m² - moeda corrente","..."
"março 1993","Brasil","Custo médio m² - moeda corrente","..."
"abril 1993","Brasil","Custo médio m² - moeda corrente","..."
"maio 1993","Brasil","Custo médio m² - moeda corrente","..."
"junho 1993","Brasil","Custo médio m² - moeda corrente","..."
"julho 1993","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1993","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1993","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1993","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1993","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1993","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1994","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1994","Brasil","Custo médio m² - moeda corrente","..."
"março 1994","Brasil","Custo médio m² - moeda corrente","..."
"abril 1994","Brasil","Custo médio m² - moeda corrente","..."
"maio 1994","Brasil","Custo médio m² - moeda corrente","..."
"junho 1994","Brasil","Custo médio m² - moeda corrente","..."
"julho 1994","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1994","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1994","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1994","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1994","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1994","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1995","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1995","Brasil","Custo médio m² - moeda corrente","..."
"março 1995","Brasil","Custo médio m² - moeda corrente","..."
"abril 1995","Brasil","Custo médio m² - moeda corrente","..."
"maio 1995","Brasil","Custo médio m² - moeda corrente","..."
"junho 1995","Brasil","Custo médio m² - moeda corrente","..."
"julho 1995","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1995","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1995","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1995","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1995","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1995","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1996","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1996","Brasil","Custo médio m² - moeda corrente","..."
"março 1996","Brasil","Custo médio m² - moeda corrente","..."
"abril 1996","Brasil","Custo médio m² - moeda corrente","..."
"maio 1996","Brasil","Custo médio m² - moeda corrente","..."
"junho 1996","Brasil","Custo médio m² - moeda corrente","..."
"julho 1996","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1996","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1996","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1996","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1996","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1996","Brasil","Custo médio m² - moeda corrente","..."
