"Mês","","Variável",""
"abril 1988","Brasil","IPCA - Variação mensal (%)","19.29"
"maio 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000326783343"
"maio 1988","Brasil","IPCA - Variação mensal (%)","17.42"
"junho 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000398675537"
"junho 1988","Brasil","IPCA - Variação mensal (%)","22.00"
"julho 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000486025677"
"julho 1988","Brasil","IPCA - Variação mensal (%)","21.91"
"agosto 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000590958147"
"agosto 1988","Brasil","IPCA - Variação mensal (%)","21.59"
"setembro 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000753176493"
"setembro 1988","Brasil","IPCA - Variação mensal (%)","27.45"
"outubro 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0000946139936"
"outubro 1988","Brasil","IPCA - Variação mensal (%)","25.62"
"novembro 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0001210492553"
"novembro 1988","Brasil","IPCA - Variação mensal (%)","27.94"
"dezembro 1988","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0001557904426"
"dezembro 1988","Brasil","IPCA - Variação mensal (%)","28.70"
"janeiro 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0002141963000"
"janeiro 1989","Brasil","IPCA - Variação mensal (%)","37.49"
"fevereiro 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0002501384201"
"fevereiro 1989","Brasil","IPCA - Variação mensal (%)","16.78"
"março 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0002671978428"
"março 1989","Brasil","IPCA - Variação mensal (%)","6.82"
"abril 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0002894554586"
"abril 1989","Brasil","IPCA - Variação mensal (%)","8.33"
"maio 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0003413257896"
"maio 1989","Brasil","IPCA - Variação mensal (%)","17.92"
"junho 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0004391155989"
"junho 1989","Brasil","IPCA - Variação mensal (%)","28.65"
"julho 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0005609261703"
"julho 1989","Brasil","IPCA - Variação mensal (%)","27.74"
"agosto 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0007500144816"
"agosto 1989","Brasil","IPCA - Variação mensal (%)","33.71"
"setembro 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0010317199110"
"setembro 1989","Brasil","IPCA - Variação mensal (%)","37.56"
"outubro 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0014420348808"
"outubro 1989","Brasil","IPCA - Variação mensal (%)","39.77"
"novembro 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0021316159803"
"novembro 1989","Brasil","IPCA - Variação mensal (%)","47.82"
"dezembro 1989","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0032293981927"
"dezembro 1989","Brasil","IPCA - Variação mensal (%)","51.50"
"janeiro 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0054108567454"
"janeiro 1990","Brasil","IPCA - Variação mensal (%)","67.55"
"fevereiro 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0095084984833"
"fevereiro 1990","Brasil","IPCA - Variação mensal (%)","75.73"
"março 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0173425503510"
"março 1990","Brasil","IPCA - Variação mensal (%)","82.39"
"abril 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0200341140678"
"abril 1990","Brasil","IPCA - Variação mensal (%)","15.52"
"maio 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0215547032441"
"maio 1990","Brasil","IPCA - Variação mensal (%)","7.59"
"junho 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0240873809519"
"junho 1990","Brasil","IPCA - Variação mensal (%)","11.75"
"julho 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0271994704920"
"julho 1990","Brasil","IPCA - Variação mensal (%)","12.92"
"agosto 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0307027623187"
"agosto 1990","Brasil","IPCA - Variação mensal (%)","12.88"
"setembro 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0351270304097"
"setembro 1990","Brasil","IPCA - Variação mensal (%)","14.41"
"outubro 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0401712720553"
"outubro 1990","Brasil","IPCA - Variação mensal (%)","14.36"
"novembro 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0469240627842"
"novembro 1990","Brasil","IPCA - Variação mensal (%)","16.81"
"dezembro 1990","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0555768600186"
"dezembro 1990","Brasil","IPCA - Variação mensal (%)","18.44"
"janeiro 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0671090584724"
"janeiro 1991","Brasil","IPCA - Variação mensal (%)","20.75"
"fevereiro 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0810143888491"
"fevereiro 1991","Brasil","IPCA - Variação mensal (%)","20.72"
